host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,popularity,host_is_local,host_years,review_years_range
3,1.0,0.98,0,7,1,1,0,1,1.0,2.0,906.0,1,180,1,22,52,82,83,4.65,4.7,4.87,4.91,4.78,4.04,4.57,0,0.21,0,1,11,9.02
2,1.0,0.91,1,3,1,1,0,4,2.0,2.0,1850.0,15,1125,1,0,0,19,294,4.77,4.86,4.69,4.95,4.93,4.68,4.78,0,1.12,3,1,10,9.98
2,1.0,1.0,0,1,1,1,0,5,2.0,4.0,5001.0,21,1125,1,20,32,41,293,4.85,4.9,4.88,4.9,4.87,4.73,4.75,0,2.36,3,0,10,9.95
3,1.0,0.86,0,3,1,1,0,4,2.0,2.0,2000.0,2,1125,1,27,57,87,362,4.46,4.59,4.41,4.86,4.72,4.24,4.41,1,0.22,0,1,11,10.81
3,1.0,1.0,0,7,1,1,2,4,3.0,3.0,1350.0,1,1125,1,23,53,83,358,4.91,4.83,5.0,4.9,4.96,4.48,4.81,1,0.21,0,1,10,4.24
3,1.0,1.0,0,7,1,1,1,2,3.0,1.0,750.0,1,1125,1,23,53,83,358,4.66,4.7,4.87,4.83,4.79,4.57,4.65,1,1.23,3,1,10,10.08
3,1.0,1.0,0,9,1,1,0,4,2.0,2.0,39169.0,1,15,1,0,0,0,146,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0.01,1,0,11,0.0
3,1.0,1.0,0,74,1,1,0,2,1.0,1.0,1314.0,1,1125,1,22,52,82,357,4.59,4.65,4.62,4.8,4.87,4.61,4.67,1,3.52,3,1,12,10.02
3,1.0,1.0,0,11,1,1,0,4,1.0,4.0,1000.0,1,1125,1,4,34,64,339,4.71,4.81,4.62,4.91,4.87,4.74,4.77,1,2.49,3,1,10,9.41
3,1.0,1.0,0,11,1,1,0,2,1.0,1.0,980.0,1,1125,1,18,21,51,321,4.68,4.74,4.63,4.89,4.88,4.66,4.76,1,2.86,3,1,10,9.44
